qid,P1082,qal585,S854
Q67902,1196,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=36"
Q68393,1566,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=37"
Q67534,1298,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=38"
Q65844,922,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=39"
Q67933,1054,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=40"
Q70072,477,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=41"
Q67937,891,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=42"
Q67922,337,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=43"
Q67302,654,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=44"
Q69887,4092,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=51"
Q69734,11593,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=52"
Q9093,19817,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=53"
Q65164,7685,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=54"
Q69175,5170,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=55"
Q65877,9419,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=56"
Q66964,2371,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=57"
Q68399,5189,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=58"
Q68410,1927,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=59"
Q70377,2721,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=60"
Q69367,1020,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=61"
Q68165,19362,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=62"
Q67912,2373,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=63"
Q67898,5591,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=64"
Q65512,1057,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=65"
Q64224,19864,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=66"
Q66457,4462,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=67"
Q67909,2837,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=68"
Q69374,15855,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=69"
Q67882,574,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=70"
Q67223,1407,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=71"
Q66588,4511,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=72"
Q70273,588,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=81"
Q67062,1365,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=82"
Q67539,6303,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=83"
Q66755,4100,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=84"
Q70131,1869,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=85"
Q67951,5940,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=86"
Q65671,925,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=87"
Q68395,3140,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=88"
Q67920,4917,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=89"
Q67042,9188,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=90"
Q66411,3024,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=91"
Q70022,6964,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=92"
Q70264,1797,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=93"
Q66156,2831,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=94"
Q70197,473,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=95"
Q64205,18253,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=96"
Q67894,7929,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=97"
Q67884,736,+2017-12-31T00:00:00Z,"https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html?tab=indikatoren&jahr=2017&indikatoren=133&bfs=98"
